Agency,URL,Title,Description,Identifier,Access
EPA,ftp://ftp.epa.gov/wed/ecoregions/or/or_eco_l4.zip,Level IV Ecoregions of Oregon,"Ecoregions by state were extracted from the seamless national shapefile. Ecoregions denote areas of general similarity in ecosystems and in the type, quality, and quantity of environmental resources. They are designed to serve as a spatial framework for the research, assessment, management, and monitoring of ecosystems and ecosystem components. These general purpose regions are critical for structuring and implementing ecosystem management strategies across federal agencies, state agencies, and nongovernment organizations that are responsible for different types of resources within the same geographical areas. The approach used to compile this map is based on the premise that ecological regions can be identified through the analysis of patterns of biotic and abiotic phenomena, including geology, physiography, vegetation, climate, soils, land use, wildlife, and hydrology. The relative importance of each characteristic varies from one ecological region to another. A Roman numeral hierarchical scheme has been adopted for different levels for ecological regions. Level I is the coarsest level, dividing North America into 15 ecological regions. Level II divides the continent into 50 regions (Commission for Environmental Cooperation Working Group, 1997). At Level III, the continental United States contains 105 regions whereas the conterminous United States has 85 (U.S. Environmental Protection Agency, 2011). Level IV ecoregions are further subdivisions of Level III ecoregions. Methods used to define the ecoregions are explained in Omernik (1995, 2004), Omernik and others (2000), and Gallant and others (1989). / Literature cited: / Commission for Environmental Cooperation Working Group, 1997, Ecological regions of North America- toward a common perspective: Montreal, Commission for Environmental Cooperation, 71 p. / Gallant, A. L., Whittier, T.R., Larsen, D.P., Omernik, J.M., and Hughes, R.M., 1989, Regionalization as a tool for managing environmental resources: Corvallis, Oregon, U.S. Environmental Protection Agency, EPA/600/3-89/060, 152p. / Omernik, J.M., 1995, Ecoregions - a framework for environmental management, in Davis, W.S. and Simon, T.P., eds., Biological assessment and criteria-tools for water resource planning and decision making: Boca Raton, Florida, Lewis Publishers, p.49-62. / Omernik, J.M., Chapman, S.S., Lillie, R.A., and Dumke, R.T., 2000, Ecoregions of Wisconsin: Transactions of the Wisconsin Academy of Science, Arts, and Letters, v. 88, p. 77-103. / Omernik, J.M., 2004, Perspectives on the nature and definitions of ecological regions: Environmental Management, v. 34, Supplement 1, p. s27-s38. / U.S. Environmental Protection Agency. 2011. Level III and IV ecoregions of the continental United States. U.S. EPA, National Health and Environmental Effects Research Laboratory, Corvallis, Oregon, Map scale 1:3,000,000. Available online at: http://www.epa.gov/wed/pages/ecoregions/level_iii_iv.htm. / Comments and questions regarding Ecoregions should be addressed to Glenn Griffith, USGS, c/o US EPA., 200 SW 35th Street, Corvallis, OR 97333, (541)-754-4465, email:griffith.glenn@epa.gov Alternate: James Omernik, USGS, c/o US EPA, 200 SW 35th Street, Corvallis, OR 97333, (541)-754-4458, email:omernik.james@epa.gov",{A2DC5A45-2A19-4659-81F4-0B6A46CDE14A},public
EPA,ftp://ftp.epa.gov/wed/ecoregions/wi/wi_eco_l4.zip,Level IV Ecoregions of Wisconsin,"Ecoregions by state were extracted from the seamless national shapefile. Ecoregions denote areas of general similarity in ecosystems and in the type, quality, and quantity of environmental resources. They are designed to serve as a spatial framework for the research, assessment, management, and monitoring of ecosystems and ecosystem components. These general purpose regions are critical for structuring and implementing ecosystem management strategies across federal agencies, state agencies, and nongovernment organizations that are responsible for different types of resources within the same geographical areas. The approach used to compile this map is based on the premise that ecological regions can be identified through the analysis of patterns of biotic and abiotic phenomena, including geology, physiography, vegetation, climate, soils, land use, wildlife, and hydrology. The relative importance of each characteristic varies from one ecological region to another. A Roman numeral hierarchical scheme has been adopted for different levels for ecological regions. Level I is the coarsest level, dividing North America into 15 ecological regions. Level II divides the continent into 50 regions (Commission for Environmental Cooperation Working Group, 1997). At Level III, the continental United States contains 105 regions whereas the conterminous United States has 85 (U.S. Environmental Protection Agency, 2011). Level IV ecoregions are further subdivisions of Level III ecoregions. Methods used to define the ecoregions are explained in Omernik (1995, 2004), Omernik and others (2000), and Gallant and others (1989). / Literature cited: / Commission for Environmental Cooperation Working Group, 1997, Ecological regions of North America- toward a common perspective: Montreal, Commission for Environmental Cooperation, 71 p. / Gallant, A. L., Whittier, T.R., Larsen, D.P., Omernik, J.M., and Hughes, R.M., 1989, Regionalization as a tool for managing environmental resources: Corvallis, Oregon, U.S. Environmental Protection Agency, EPA/600/3-89/060, 152p. / Omernik, J.M., 1995, Ecoregions - a framework for environmental management, in Davis, W.S. and Simon, T.P., eds., Biological assessment and criteria-tools for water resource planning and decision making: Boca Raton, Florida, Lewis Publishers, p.49-62. / Omernik, J.M., Chapman, S.S., Lillie, R.A., and Dumke, R.T., 2000, Ecoregions of Wisconsin: Transactions of the Wisconsin Academy of Science, Arts, and Letters, v. 88, p. 77-103. / Omernik, J.M., 2004, Perspectives on the nature and definitions of ecological regions: Environmental Management, v. 34, Supplement 1, p. s27-s38. / U.S. Environmental Protection Agency. 2011. Level III and IV ecoregions of the continental United States. U.S. EPA, National Health and Environmental Effects Research Laboratory, Corvallis, Oregon, Map scale 1:3,000,000. Available online at: http://www.epa.gov/wed/pages/ecoregions/level_iii_iv.htm. / Comments and questions regarding Ecoregions should be addressed to Glenn Griffith, USGS, c/o US EPA., 200 SW 35th Street, Corvallis, OR 97333, (541)-754-4465, email:griffith.glenn@epa.gov Alternate: James Omernik, USGS, c/o US EPA, 200 SW 35th Street, Corvallis, OR 97333, (541)-754-4458, email:omernik.james@epa.gov",{0D8D86F8-C966-4BF4-BB89-8E97C5E150B8},public
EPA,ftp://ftp.epa.gov/wed/ecoregions/ok/ok_eco_l3.zip,Level III Ecoregions of Oklahoma,"Ecoregions by state were extracted from the seamless national shapefile. Ecoregions denote areas of general similarity in ecosystems and in the type, quality, and quantity of environmental resources. They are designed to serve as a spatial framework for the research, assessment, management, and monitoring of ecosystems and ecosystem components. These general purpose regions are critical for structuring and implementing ecosystem management strategies across federal agencies, state agencies, and nongovernment organizations that are responsible for different types of resources within the same geographical areas. The approach used to compile this map is based on the premise that ecological regions can be identified through the analysis of patterns of biotic and abiotic phenomena, including geology, physiography, vegetation, climate, soils, land use, wildlife, and hydrology. The relative importance of each characteristic varies from one ecological region to another. A Roman numeral hierarchical scheme has been adopted for different levels for ecological regions. Level I is the coarsest level, dividing North America into 15 ecological regions. Level II divides the continent into 50 regions (Commission for Environmental Cooperation Working Group, 1997). At Level III, the continental United States contains 105 regions whereas the conterminous United States has 85 (U.S. Environmental Protection Agency, 2011). Level IV ecoregions are further subdivisions of Level III ecoregions. Methods used to define the ecoregions are explained in Omernik (1995, 2004), Omernik and others (2000), and Gallant and others (1989). / Literature cited: / Commission for Environmental Cooperation Working Group, 1997, Ecological regions of North America- toward a common perspective: Montreal, Commission for Environmental Cooperation, 71 p. / Gallant, A. L., Whittier, T.R., Larsen, D.P., Omernik, J.M., and Hughes, R.M., 1989, Regionalization as a tool for managing environmental resources: Corvallis, Oregon, U.S. Environmental Protection Agency, EPA/600/3-89/060, 152p. / Omernik, J.M., 1995, Ecoregions - a framework for environmental management, in Davis, W.S. and Simon, T.P., eds., Biological assessment and criteria-tools for water resource planning and decision making: Boca Raton, Florida, Lewis Publishers, p.49-62. / Omernik, J.M., Chapman, S.S., Lillie, R.A., and Dumke, R.T., 2000, Ecoregions of Wisconsin: Transactions of the Wisconsin Academy of Science, Arts, and Letters, v. 88, p. 77-103. / Omernik, J.M., 2004, Perspectives on the nature and definitions of ecological regions: Environmental Management, v. 34, Supplement 1, p. s27-s38. / U.S. Environmental Protection Agency. 2011. Level III and IV ecoregions of the continental United States. U.S. EPA, National Health and Environmental Effects Research Laboratory, Corvallis, Oregon, Map scale 1:3,000,000. Available online at: http://www.epa.gov/wed/pages/ecoregions/level_iii_iv.htm. / Comments and questions regarding Ecoregions should be addressed to Glenn Griffith, USGS, c/o US EPA., 200 SW 35th Street, Corvallis, OR 97333, (541)-754-4465, email:griffith.glenn@epa.gov Alternate: James Omernik, USGS, c/o US EPA, 200 SW 35th Street, Corvallis, OR 97333, (541)-754-4458, email:omernik.james@epa.gov",{3E8F6CF7-2A8F-4FEC-92EA-5BA6A41663CE},public
EPA,ftp://ftp.epa.gov/wed/ecoregions/reg6/reg6_eco_l4.zip,Level IV Ecoregions of EPA Region 6,"Ecoregions by EPA region were extracted from the seamless national shapefile. Ecoregions denote areas of general similarity in ecosystems and in the type, quality, and quantity of environmental resources. They are designed to serve as a spatial framework for the research, assessment, management, and monitoring of ecosystems and ecosystem components. These general purpose regions are critical for structuring and implementing ecosystem management strategies across federal agencies, state agencies, and nongovernment organizations that are responsible for different types of resources within the same geographical areas. The approach used to compile this map is based on the premise that ecological regions can be identified through the analysis of patterns of biotic and abiotic phenomena, including geology, physiography, vegetation, climate, soils, land use, wildlife, and hydrology. The relative importance of each characteristic varies from one ecological region to another. A Roman numeral hierarchical scheme has been adopted for different levels for ecological regions. Level I is the coarsest level, dividing North America into 15 ecological regions. Level II divides the continent into 52 regions (Commission for Environmental Cooperation Working Group, 1997). At Level III, the continental United States contains 104 regions whereas the conterminous United States has 84 (U.S. Environmental Protection Agency, 2005). Level IV ecoregions are further subdivisions of Level III ecoregions. Methods used to define the ecoregions are explained in Omernik (1995, 2004), Omernik and others (2000), and Gallant and others (1989). / Literature cited: / Commission for Environmental Cooperation Working Group, 1997, Ecological regions of North America- toward a common perspective: Montreal, Commission for Environmental Cooperation, 71 p. / Gallant, A. L., Whittier, T.R., Larsen, D.P., Omernik, J.M., and Hughes, R.M., 1989, Regionalization as a tool for managing environmental resources: Corvallis, Oregon, U.S. Environmental Protection Agency, EPA/600/3-89/060, 152p. / Omernik, J.M., 1995, Ecoregions - a framework for environmental management, in Davis, W.S. and Simon, T.P., eds., Biological assessment and criteria-tools for water resource planning and decision making: Boca Raton, Florida, Lewis Publishers, p.49-62. / Omernik, J.M., Chapman, S.S., Lillie, R.A., and Dumke, R.T., 2000, Ecoregions of Wisconsin: Transactions of the Wisconsin Academy of Science, Arts, and Letters, v. 88, p. 77-103. / Omernik, J.M., 2004, Perspectives on the nature and definitions of ecological regions: Environmental Management, v. 34, Supplement 1, p. s27-s38. / Comments and questions regarding Ecoregions should be addressed to Glenn Griffith, Dynamac Corporation, c/o US EPA., 200 SW 35th Street, Corvallis, OR 97333, (541)-754-4465, email:griffith.glenn@epa.gov Alternate: James Omernik, USGS, c/o US EPA, 200 SW 35th Street, Corvallis, OR 97333, (541)-754-4458, email:omernik.james@epa.gov",{15054DC0-8771-40F8-82D2-15BFEEE6C949},public
EPA,ftp://ftp.epa.gov/wed/ecoregions/wv/wv_eco_l4.zip,Level IV Ecoregions of West Virginia,"Ecoregions by state were extracted from the seamless national shapefile. Ecoregions denote areas of general similarity in ecosystems and in the type, quality, and quantity of environmental resources. They are designed to serve as a spatial framework for the research, assessment, management, and monitoring of ecosystems and ecosystem components. These general purpose regions are critical for structuring and implementing ecosystem management strategies across federal agencies, state agencies, and nongovernment organizations that are responsible for different types of resources within the same geographical areas. The approach used to compile this map is based on the premise that ecological regions can be identified through the analysis of patterns of biotic and abiotic phenomena, including geology, physiography, vegetation, climate, soils, land use, wildlife, and hydrology. The relative importance of each characteristic varies from one ecological region to another. A Roman numeral hierarchical scheme has been adopted for different levels for ecological regions. Level I is the coarsest level, dividing North America into 15 ecological regions. Level II divides the continent into 50 regions (Commission for Environmental Cooperation Working Group, 1997). At Level III, the continental United States contains 105 regions whereas the conterminous United States has 85 (U.S. Environmental Protection Agency, 2011). Level IV ecoregions are further subdivisions of Level III ecoregions. Methods used to define the ecoregions are explained in Omernik (1995, 2004), Omernik and others (2000), and Gallant and others (1989). / Literature cited: / Commission for Environmental Cooperation Working Group, 1997, Ecological regions of North America- toward a common perspective: Montreal, Commission for Environmental Cooperation, 71 p. / Gallant, A. L., Whittier, T.R., Larsen, D.P., Omernik, J.M., and Hughes, R.M., 1989, Regionalization as a tool for managing environmental resources: Corvallis, Oregon, U.S. Environmental Protection Agency, EPA/600/3-89/060, 152p. / Omernik, J.M., 1995, Ecoregions - a framework for environmental management, in Davis, W.S. and Simon, T.P., eds., Biological assessment and criteria-tools for water resource planning and decision making: Boca Raton, Florida, Lewis Publishers, p.49-62. / Omernik, J.M., Chapman, S.S., Lillie, R.A., and Dumke, R.T., 2000, Ecoregions of Wisconsin: Transactions of the Wisconsin Academy of Science, Arts, and Letters, v. 88, p. 77-103. / Omernik, J.M., 2004, Perspectives on the nature and definitions of ecological regions: Environmental Management, v. 34, Supplement 1, p. s27-s38. / U.S. Environmental Protection Agency. 2011. Level III and IV ecoregions of the continental United States. U.S. EPA, National Health and Environmental Effects Research Laboratory, Corvallis, Oregon, Map scale 1:3,000,000. Available online at: http://www.epa.gov/wed/pages/ecoregions/level_iii_iv.htm. / Comments and questions regarding Ecoregions should be addressed to Glenn Griffith, USGS, c/o US EPA., 200 SW 35th Street, Corvallis, OR 97333, (541)-754-4465, email:griffith.glenn@epa.gov Alternate: James Omernik, USGS, c/o US EPA, 200 SW 35th Street, Corvallis, OR 97333, (541)-754-4458, email:omernik.james@epa.gov",{2EEB0F79-6845-4315-B0B5-DAD373AADBD1},public
EPA,https://edg.epa.gov/data/public/ORD/LES/LES.zip,Lakes Ecosystem Services Download Package,"This data download package contains Esri 10.0 MXDs, file geodatabases and copy of this FGDC metadata record. The data in this package are used in support of the Lake Ecosystem Services application available at the secondary linkage listed above. Layers contained in this data package are: polygons and centroids of lakes sampled as part of EPA•À_??s New England Lakes and Ponds project and the National Lakes Assessment project; CMAQ annual nitrogen deposition (2002) and nitrogen projections (2020); NASS Cropland Data Layer; USGS NHD; NLCD 2001; Omenik levels I, II and III ecoregions for the northeast Region; 2010 census population for the northeast region in raster format; modeled nitrogen and phosphorus loads for NHD lakes in the USGS MRB1 region; and level 3 and level 9 Wadeable Streams Assessment ecoregions.",{1636EBB0-7CB4-468D-BEF3-ACDBEA0F3709},public
EPA,https://edg.epa.gov/data/public/ORD/Merganser/Merganser.zip,Merganser Download Package,"This data download package contains an Esri 10.0 MXD, file geodatabase and copy of this FGDC metadata record. The data in this package are used in support of the Merganser application available at the secondary linkage listed above. This data package contains a point layer showing the locations of lakes used in the MERGANSER (MEcury Geo-spatial Assessments for the New England Region) project. This model estimates mercury in fish tissue depending on environmental conditions. These are the centroids for the lakes used in the Merganser project. They originate from the USGS 1:100k NHD. Other lakes from the USGS 1:24k NHD were added where lakes were missing from the original model. The attributes in this file are estimates of mercury in fish tissue depending on environmental variables for small mouth bass at 200mm, 320mm and 500mm lengths. Additional layers in this packare are NHD flowlines and waterbodies, and NLCD 1992, 2001 and 2006.",{65E42A85-D34B-459E-821D-E892CC3D6C7E},public
EPA,http://edg.epa.gov/data/Public/OEI/EPA_RegionalMasks/EPA_RegionalMasks.zip,"US EPA Regional Masks Download Package, US, 2015, US EPA, SEGS","This downloadable data package contains the following layers: masks and labels for EPA regions 1 through 10. Included in this package are a file geodatabase, Esri ArcMap map document and an XML file of this metadata record. Full FGDC metadata records for each layer are contained in the database. This SEGS dataset was procured for EPA through the Office of Environmental Information (OEI).",{1D7F7793-57A3-4F61-A1C2-EE63B258E341},public
EPA,ftp://ftp.epa.gov/wed/ecoregions/us/us_eco_l3.zip,Level III Ecoregions of the Conterminous United States,"Ecoregions denote areas of general similarity in ecosystems and in the type, quality, and quantity of environmental resources. They are designed to serve as a spatial framework for the research, assessment, management, and monitoring of ecosystems and ecosystem components. These general purpose regions are critical for structuring and implementing ecosystem management strategies across federal agencies, state agencies, and nongovernment organizations that are responsible for different types of resources within the same geographical areas. The approach used to compile this map is based on the premise that ecological regions can be identified through the analysis of patterns of biotic and abiotic phenomena, including geology, physiography, vegetation, climate, soils, land use, wildlife, and hydrology. The relative importance of each characteristic varies from one ecological region to another. A Roman numeral hierarchical scheme has been adopted for different levels for ecological regions. Level I is the coarsest level, dividing North America into 15 ecological regions. Level II divides the continent into 50 regions (Commission for Environmental Cooperation Working Group, 1997). At Level III, the continental United States contains 105 regions whereas the conterminous United States has 85 (U.S. Environmental Protection Agency, 2005). Level IV ecoregions are further subdivisions of Level III ecoregions. Methods used to define the ecoregions are explained in Omernik (1995, 2004), Omernik and others (2000), and Gallant and others (1989). / Literature cited: / Commission for Environmental Cooperation Working Group, 1997, Ecological regions of North America- toward a common perspective: Montreal, Commission for Environmental Cooperation, 71 p. / Gallant, A. L., Whittier, T.R., Larsen, D.P., Omernik, J.M., and Hughes, R.M., 1989, Regionalization as a tool for managing environmental resources: Corvallis, Oregon, U.S. Environmental Protection Agency, EPA/600/3-89/060, 152p. / Omernik, J.M., 1995, Ecoregions - a framework for environmental management, in Davis, W.S. and Simon, T.P., eds., Biological assessment and criteria-tools for water resource planning and decision making: Boca Raton, Florida, Lewis Publishers, p.49-62. / Omernik, J.M., Chapman, S.S., Lillie, R.A., and Dumke, R.T., 2000, Ecoregions of Wisconsin: Transactions of the Wisconsin Academy of Science, Arts, and Letters, v. 88, p. 77-103. / Omernik, J.M., 2004, Perspectives on the nature and definitions of ecological regions: Environmental Management, v. 34, Supplement 1, p. s27-s38. / U.S. Environmental Protection Agency. 2013. Level III and IV ecoregions of the continental United States. U.S. EPA, National Health and Environmental Effects Research Laboratory, Corvallis, Oregon, Map scale 1:3,000,000. Available online at: http://www.epa.gov/wed/pages/ecoregions/level_iii_iv.htm. / Comments and questions regarding the Level III and IV Ecoregions should be addressed to Glenn Griffith, USGS, c/o US EPA., 200 SW 35th Street, Corvallis, OR 97333, (541)-754-4465, email:griffith.glenn@epa.gov Alternate: James Omernik, USGS, c/o US EPA, 200 SW 35th Street, Corvallis, OR 97333, (541)-754-4458, email:omernik.james@epa.gov",{A267B905-EB74-4B0B-B058-E25D0892B761},public
EPA,file:////r6gis1/share1/census/acs/acs_5yr_06_10/acs_5yr_2010_County_tables.gdb,"American Community Survey 2006-2010 Derived Summary Tables for Counties in U.S. Environmental Protection Agency, Region 6","This file geodatabase contains data derived from the 2006-2010 American Community Survey. Topics included are Population (race, age, sex, and marital status), Housing (building age, value and/or rent, length of occupation, number of units, home heating type, and number of vehicles), Income (household income and poverty status), Employment (commuting time and method, and participation of mothers in the labor force), Education, Language (language ability and linguistic isolation), Place of Birth (country of birth of foreign-born individuals), and Language Spoken. Every also has a companion table (Same table name with MOE Suffix) with the margin of error (MOE) values for each estimated element.",{159E02E2-AB93-449A-848D-7F5A2F0BED83},public
EPA,file:////r6gis1/share1/Census/ACS/ACS_5yr_06_10/ACS_5yr_2010_BG_Tables.gdb/,"American Community Survey 2006-2010 Derived Summary Tables for Block Groups in U.S. Environmental Protection Agency, Region 6","This file geodatabase contains table data derived from the 2006-2010 American Community Survey. Topics included are Population (race, age, sex, and marital status), Housing (building age, value and/or rent, length of occupation, number of units, home heating type, and number of vehicles), Income (household income and poverty status), Employment (commuting time and method, and participation of mothers in the labor force), Education, Language (language ability and linguistic isolation), Place of Birth (country of birth of foreign-born individuals), and Language Spoken. Every also has a companion table (Same table name with MOE Suffix) with the margin of error (MOE) values for each estimated element.",{F3AD1132-ACBB-4D1E-8BED-B6C13ABCBCB7},public
EPA,http://cook.rtp.epa.gov/ftp/data/CENSUS/ACS2010/ACS10StateSummaryTables.gdb.zip,"American Community Survey 2006-2010 Derived Summary Tables for U.S. Environmental Protection Agency, Region 6 States","This file geodatabase contains data derived from the 2006-2010 American Community Survey. Topics included are Population (race, age, sex, and marital status), Housing (building age, value and/or rent, length of occupation, number of units, home heating type, and number of vehicles), Income (household income and poverty status), Employment (commuting time and method, and participation of mothers in the labor force), Education, Language (language ability and linguistic isolation), Place of Birth (country of birth of foreign-born individuals), and Language Spoken. Every also has a companion table (Same table name with MOE Suffix) with the margin of error (MOE) values for each estimated element.",{AD08547B-A09A-47A3-9415-4D4B60F0CEDF},public
EPA,file:////r6gis1/share1/Census/ACS/ACS_5yr_06_10/ACS_5yr_2010_Tract_Tables.gdb/,"American Community Survey 2006-2010 Derived Summary Tables for Tracts in U.S. Environmental Protection Agency, Region 6","This file geodatabase contains data derived from the 2006-2010 American Community Survey. Topics included are Population (race, age, sex, and marital status), Housing (building age, value and/or rent, length of occupation, number of units, home heating type, and number of vehicles), Income (household income and poverty status), Employment (commuting time and method, and participation of mothers in the labor force), Education, Language (language ability and linguistic isolation), Place of Birth (country of birth of foreign-born individuals), and Language Spoken. Every also has a companion table (Same table name with MOE Suffix) with the margin of error (MOE) values for each estimated element.",{6EE37E94-0A82-4E50-A130-9321845F80DC},public
EPA,http://edg.epa.gov/EME/,U.S. EPA Metadata Editor (EME),"The EPA Metadata Editor (EME) allows users to create geospatial metadata that meets EPA's requirements. The tool has been developed as a desktop application that works as a standalone tool or as an extension to ESRI's ArcCatalog. It provides a customized editing environment that allows users to select EPA defaults within the user interface, while also allowing users the flexibility to specify their own defaults.",{4952303A-D92C-4E23-8719-888BA2DF865A},public
EPA,http://igeo.epa.gov/arcgis/rest/services/OEI/FRS_ESF10/MapServer,EPA Facility Registry Service (FRS): FRS_ESF10,"This web service contains the following layers: RMP, TRI, FRP, RCRATSD, CERCLIS, TSCA, and E-PLAN facilities and their associated CONTACTS, CHEMICALS, NAIP, SIC, and STATE IDs information. Layers are drawn at scale of 1: 18,489,297 and lower. Data used to create this web service are available as a separate download at the Secondary Linkage listed above. Full FGDC metadata records for each layer may be found by clicking the layer name in the web service table of contents (available through the online link provided above) and viewing the layer description.",{EF4A2554-B797-4604-ABAD-C9660E2AD749},public
EPA,http://igeo.epa.gov/arcgis/rest/services/OEI/FRS_ESF3/MapServer,EPA Facility Registry Service (FRS): FRS_ESF3,"This web service contains the following layers: WWTP -NPDES and WTP. The WWTP-NPDES facilties have associated CONTACTS, NAIP, SIC, and STATE IDs information. Layers are drawn at a scale of 1: 2311162.217155 and larger. Data used to create this web service are available as a separate download at the Secondary Linkage listed above. Full FGDC metadata records for each layer may be found by clicking the layer name in the web service table of contents (available through the online link provided above) and viewing the layer description.",{B4A867A5-89B2-4B39-BF64-5A5AD206F298},public
EPA,http://geodata.epa.gov/ArcGIS/Rest/Services/OEI/EPA_RegionalMasks/MapServer,"US EPA Regional Masks, US, 2015, US EPA, SEGS",This web service contains the following map layers: masks for EPA regions 1 through 10. Layers are drawn at all scales. Data used to create this web service are available as a separate download at the Secondary Linkage listed above. Full FGDC metadata records for each layer may be found by clicking the layer name in the web service table of contents (available through the online link provided above) and viewing the layer description. This SEGS dataset was procured for EPA through the Office of Environmental Information (OEI).,{6E1ADBAB-EF1F-4C30-9E8C-577D7E7D8C5F},public
EPA,https://edg.epa.gov/data/Public/ORD/NERL/ReVA/ReVA_Data.zip,Percent Agricultural Land Cover on Steep Slopes,"Clearing land for agriculture tends to increase soil erosion. The amount of erosion is related to the steepness of the slope, farming methods used and soil type. High amounts of agriculture on steep slopes can increase the amount of soil erosion leading to increased sediment in surface water. Agricultural land cover on steep slopes (AGSL) is the percent of agriculture on slopes greater than or equal to 9%. More information about these resources, including the variables used in this study, may be found here: https://edg.epa.gov/data/Public/ORD/NERL/ReVA/ReVA_Data.zip.",{12973A9D-95A5-4583-AB2E-9DD787047C70},public
EPA,http://www.epa.gov/region02/,EPA Region 2 AIRS AQS GIS Layer,"This ArcGIS 10.2 point feature class contains identification, location and status information for EPA Region 2 facilities (NYS, NJ, Puerto Rico and the US Virgin Islands) registered in the Aerometric Information Retrieval System and the Air Quality System (AIRS/AQS). AIRS is the national repository for information concerning airborne pollution in the United States. AQS is EPA's repository of ambient air quality data. AQS stores data from over 10,000 monitors. The data provided in this service are obtained from EPA's Facility Registry System (FRS). / All data for EPA Region 2 Regulated Facility GIS layers are extracted from the Facility Registry System (FRS) of Envirofacts on a monthly basis using R2GIS SQL procedures and Linked Server definitions. The attributes for each media specific R2GIS Regulated Facility layer provides the ID, name, address and environmental interest (permit designation or regulated activity) from the parent media program system and the best available coordinates from the FRS Geospatial Tables except for the Region 2 CERLIS layers were all locational data is from the CERCLIS database only. There are a small percentage of EPA Regulated Facilities for which no coordinate information has been registered in any of the related EPA or State Program System Databases. These facilities will have attribute table records in the Facility GIS layer but will not appear as points in the display map. For the much larger set of program system records with coordinates there may be a small subset of facilities having multiple records for the same facility in the layer. This can be due to multiple environmental interests registered over time for the same permit (e.g. AIR Major to Minor, RCRA Small Quantity Generator to Large Quantity Generator). A facility may also have been issued multiple program system IDs under the same EPA Program overtime. In either of these cases there will be more than one record with the same coordinates in a R2 Regulated Facility GIS layer and will result in stacked points on the GIS display.",{6BEA79B0-07DD-45F7-858F-45096A17602D},public
EPA,https://edg.epa.gov/clipship/,"EPA Region 2 Hazardous Waste Treatment, Storage and Disposal Facilities Permitted Under RCRA [EPA.R2_RCRA_TSD_FAC]","This ArcGIS 10.2 point feature class contains identification, location and status information for EPA Region 2 facilities (NYS, NJ, Puerto Rico and the US Virgin Islands) regulated under the Resource Conservation and Recovery Act. Hazardous waste information is contained in the Resource Conservation and Recovery Act Information (RCRAInfo) System, a national program management and inventory system about hazardous waste handlers. In general, all generators, transporters, treaters, storers, and disposers of hazardous waste are required to provide information about their activities to state environmental agencies. These agencies, in turn pass on the information to regional and national EPA offices. This regulation is governed by the Resource Conservation and Recovery Act (RCRA), as amended by the Hazardous and Solid Waste Amendments of 1984. This GIS layer provides all R2 Facilities with RCRA Hazardous Waste Permits. / All data for EPA Region 2 Regulated Facility GIS layers are extracted from the Facility Registry System (FRS) of Envirofacts on a monthly basis using R2GIS SQL procedures and Linked Server definitions. The attributes for each media specific R2GIS Regulated Facility layer provides the ID, name, address and environmental interest (permit designation or regulated activity) from the parent media program system as harvested by the FRS. The best available locational data comes from the FRS Geospatial Tables. There are a small percentage of EPA Regulated Facilities for which no coordinate information has been registered in any of the related EPA or State Program System Databases. These facilities will have attribute table records in the Facility GIS layer but will not appear as points in the display map. For the much larger set of program system records with coordinates there may be a small subset of facilities having multiple records for the same facility in the layer. This can be due to multiple environmental interests registered over time for the same permit (e.g. AIR Major to Minor, RCRA Small Quantity Generator to Large Quantity Generator). A facility may also have been issued multiple program system IDs under the same EPA Program. In either of these cases there will be more than one record with the same coordinates in a program specific R2 Regulated Facility GIS layer and will result in stacked points on the GIS display.",{9CC17307-DB67-4253-9524-FA650A9A7FC2},public
EPA,https://edg.epa.gov/data/Public/ORD/EnviroAtlas/NBMA_community_metrics_Nov2014.zip,"EnviroAtlas - New Bedford, MA - Domestic Water Use per Day by U.S. Census Block Group","As included in this EnviroAtlas dataset, the community level domestic water use is calculated using locally available water use data per capita in gallons of water per day (GPD), distributed dasymetrically, and summarized by census block group. Domestic water use, as defined in this case, is intended to represent residential indoor and outdoor water use (e.g., cooking hygiene, landscaping, pools, etc.) for primary residences (i.e., excluding second homes and tourism rentals). For the purposes of this metric, these publicly-supplied estimates are also applied and considered representative of local self-supplied water use. Residential Gallons per Capita per Day (RGPCD) in the EnviroAtlas-defined study area is available through the Commonwealth of Massachusetts' (mass.gov). Within the New Bedford boundary, there are five service providers with 2008-2013 estimates ranging from 45 to 76 GPD.This dataset was produced by the US EPA to support research and online mapping activities related to EnviroAtlas. EnviroAtlas (http://enviroatlas.epa.gov/EnviroAtlas) allows the user to interact with a web-based, easy-to-use, mapping application to view and analyze multiple ecosystem services for the contiguous United States. The dataset is available as downloadable data (https://edg.epa.gov/data/Public/ORD/EnviroAtlas) or as an EnviroAtlas map service. Additional descriptive information about each attribute in this dataset can be found in its associated EnviroAtlas Fact Sheet (http://enviroatlas.epa.gov/EnviroAtlas/DataFactSheets).",{300C9AEE-CE7E-4BA4-858F-62E5DDB4EC8B},public
